abrevParker2017,abrevGaramszegi2019,breed,synonym,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lLeroy2015b,lONeill2013,lMichell1999,lcompendia,lpapers,lifespan,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACKR,ACKR,American Cocker Spaniel,American Cocker Spaniel,,,,,,,,,,,,,,,,,,,,,,,10.000 ,,,,,10.000 ,10.000 ,,,,,,,,,12.500 ,,12.500 ,12.500 ,,,,,,,5.300 ,,,,,6.000 ,,,,,,,,5.650 ,5.650 ,,,,,,200.000 ,,,,,200.000 ,0.200 ,200.000 ,0.200 ,1.1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFGH,AFGH,Afghan Hound,Persian Greyhound,22.680 ,27.216 ,17.000 ,36.000 ,,,27.000 ,,,,23.000 ,,24.948 ,,,25.750 ,27.000 ,23.000 ,,,,,28.000 ,22.230 ,,22.680 ,25.483 ,24.303 ,24.893 ,12.000 ,18.000 ,12.000 ,14.000 ,15.000 ,13.000 ,,,12.000 ,14.000 ,12.000 ,13.000 ,,,,,,,8.000 ,,,,,6.000 ,,,,,,,,7.000 ,7.000 ,,,,,,500.000 ,,,,,500.000 ,0.500 ,500.000 ,0.500 ,3.5000,,,,,,,4889.5120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRT,AIRT,Airedale Terrier,Waterside Terrier,22.680 ,31.751 ,,,,,20.500 ,32.000 ,,,18.000 ,22.000 ,27.216 ,,,23.125 ,26.250 ,20.000 ,21.050 ,21.050 ,21.050 ,,26.000 ,,,21.550 ,24.489 ,22.413 ,23.451 ,11.000 ,14.000 ,10.000 ,12.000 ,12.500 ,11.000 ,,,11.200 ,11.750 ,11.200 ,11.475 ,10.000 ,,,,,,7.400 ,,,,,,,,,,,,10.000 ,7.400 ,8.700 ,,,382.718 ,397.000 ,,,,397.000 ,397.000 ,382.718 ,397.000 ,0.397 ,389.859 ,0.390 ,3.3918,,,,,,,6880.8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKIT,AKIT,Akita,Akita,,,,,45.359 ,58.967 ,38.500 ,50.000 ,31.751 ,45.359 ,34.000 ,38.500 ,45.359 ,52.163 ,38.555 ,40.250 ,44.250 ,36.250 ,,,,,44.000 ,,,43.090 ,42.805 ,43.545 ,43.175 ,10.000 ,13.000 ,11.000 ,12.000 ,11.500 ,11.500 ,,,,11.500 ,,11.500 ,,,,,,,6.000 ,,,,,6.500 ,,,,,,,,6.250 ,6.250 ,,,,,,488.500 ,,,,,488.500 ,0.489 ,488.500 ,0.489 ,3.0531,,,,,,,9185.4043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAL,AMAL,Alaskan Malamute,Alaskan Malamute,,,,,,,38.500 ,,,,34.000 ,,,,,36.250 ,38.500 ,34.000 ,39.000 ,39.000 ,,,40.000 ,35.830 ,,34.020 ,36.250 ,37.213 ,36.731 ,10.000 ,14.000 ,12.000 ,,12.000 ,12.000 ,,,,12.000 ,,12.000 ,,,,,,,6.900 ,,,,,7.500 ,,,,,,,,7.200 ,7.200 ,,,,482.000 ,,468.000 ,,482.000 ,,,475.000 ,0.475 ,475.000 ,0.475 ,3.4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMST,AMST,American Staffordshire Terrier,American Staffordshire Terrier,,,18.000 ,23.000 ,24.948 ,31.751 ,,,18.144 ,24.948 ,,,24.948 ,28.350 ,21.546 ,20.500 ,,,,,,,27.000 ,,,,23.465 ,27.000 ,25.233 ,12.000 ,16.000 ,12.000 ,,14.000 ,12.000 ,,,,13.333 ,,13.333 ,7.500 ,,,,,,,,,,,outlier,,,,,,,7.500 ,,7.500 ,,,340.194 ,,,500.000 ,,,,340.194 ,500.000 ,0.500 ,420.097 ,0.420 ,3.1507,,,,,,,5838.5237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAT,ANAT,Anatolian Shepherd Dog,Kangal Dog,,,,,49.895 ,68.039 ,50.000 ,68.000 ,36.287 ,54.431 ,36.500 ,54.600 ,52.163 ,58.967 ,45.359 ,52.275 ,59.000 ,45.550 ,,,,,,,,,52.219 ,,52.219 ,11.000 ,13.000 ,12.000 ,,12.000 ,12.000 ,,,,12.000 ,,12.000 ,,,,,,,,,6.200 ,,8.000 ,,,,,,,,,7.100 ,7.100 ,,,,,500.000 ,,,,,,500.000 ,0.500 ,500.000 ,0.500 ,3.5500,,,,,,,10332.6160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUCD,AUCD,Australian Cattle Dog,Australian Cattle Dog,15.876 ,22.680 ,16.000 ,20.000 ,,,,,,,,,19.278 ,,,18.000 ,,,20.500 ,20.500 ,20.500 ,,15.000 ,,,,18.639 ,18.667 ,18.653 ,12.000 ,16.000 ,12.000 ,13.000 ,14.000 ,12.500 ,,,,13.250 ,,13.250 ,,,,,,,5.500 ,,,,,,,,,,,,,5.500 ,5.500 ,,,,283.500 ,,,,300.000 ,267.000 ,,283.500 ,0.284 ,283.500 ,0.284 ,1.5593,,,,,,,6699.8801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSS,AUSS,Australian Shepherd ,Australian Shepherd ,,,16.000 ,32.000 ,22.680 ,29.483 ,,,18.144 ,24.948 ,,,23.814 ,26.082 ,21.546 ,24.000 ,,,,,,,25.000 ,,,15.880 ,23.876 ,20.440 ,22.158 ,12.000 ,15.000 ,12.000 ,13.000 ,13.500 ,12.500 ,,,,13.000 ,,13.000 ,7.500 ,,,,,,8.000 ,,,,,7.000 ,,,,,,,7.500 ,7.500 ,7.500 ,,,362.874 ,,,350.000 ,,,,362.874 ,350.000 ,0.350 ,356.437 ,0.356 ,2.6733,,,,,,,6581.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUST,AUST,Australian Terrier,Australian Terrier,6.804 ,9.072 ,4.000 ,7.000 ,,,,,,,,,7.938 ,,,5.500 ,,,,,,,,,,,6.719 ,,6.719 ,11.000 ,15.000 ,14.000 ,,13.000 ,14.000 ,,,,13.333 ,,13.333 ,4.500 ,,,,,,5.500 ,,,,,,,,,,,,4.500 ,5.500 ,5.000 ,,,170.097 ,,,,,,,170.097 ,,,170.097 ,0.170 ,0.8505,,,,,,,4566.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
