,AFGH,AIRT,AKIT,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BELS,BERD,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BRIA,BRIT,BRTR,BRUS,BULM,BULT,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COTO,CRES,DACH,DALM,DANE,DEER,DOBP,ECKR,ESET,FBUL,FCR,FIEL,GOLD,GORD,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ITGY,KEES,KUVZ,LAB,LEON,MAST,MPIN,MPOO,MSNZ,NEWF,NORF,NOWT,NSDT,OES,PAPI,PARS,POM,PTWD,PUG,PUMI,ROTT,SAMO,SCOT,SCWT,SHIH,SKIP,SSHP,SSNZ,STAF,STBD,TIBM,TIBT,TPOO,VIZS,WEIM,WFOX,WHIP,WHWT,YORK
AFGH,1,0.000730359,0.000366603,0.000658041,0.01569936,0.000534802,0.0005441,0.00047424,0.0011615,0.000498482,0.000436563,0.000402937,0.000627109,0.000378712,0.000551401,0.002941562,0.005686479,0.00056147,0.000500461,0.000394961,0.000472069,0.000551591,0.00044078,0.000444263,0.000464369,0.000433136,0.000531562,0.00049077,0.000685894,0.000332382,0.000397252,0.000370566,0.000431527,0.000523362,0.001312957,0.002840968,0.000537938,0.00035264,0.000372859,0.000515292,0.00050588,0.000544399,0.000413979,0.000321394,0.000466143,0.000597013,0.00054439,0.00043438,0.000609581,0.000312605,0.000526438,0.000628878,0.000392263,0.000463851,0.000459219,0.002548637,0.000574634,0.000418461,0.000468037,0.00126488,0.000585708,0.000355665,0.000503699,0.000364293,0.000395244,0.000488748,0.000483573,0.000585794,0.000668413,0.000588474,0.000477561,0.000337591,0.001942294,0.000390894,0.001077901,0.000405488,0.000425598,0.000424336,0.000533603,0.000397445,0.00048362,0.001537791,0.000428717,0.005125631,0.001648904,0.000628348,0.000531604,0.000394079,0.000387791,0.000442263,0.000414451,0.000581289
AIRT,0.000730359,1,0.000762467,0.016287635,0.000458265,0.01103339,0.016550603,0.011294727,0.004908306,0.01123086,0.002379438,0.005201323,0.003305704,0.002133178,0.010029021,0.012304988,0.001969344,0.015398817,0.008841322,0.005682348,0.003727526,0.00882952,0.052323414,0.006266157,0.007402051,0.008315664,0.007779108,0.007327558,0.006352505,0.005575007,0.000315665,0.011286742,0.007284583,0.008393839,0.00577238,0.01456034,0.005497199,0.003621795,0.008012828,0.007989746,0.008484934,0.011303921,0.008907223,0.003257428,0.015868328,0.011964132,0.007667092,0.001415813,0.008711096,0.008172961,0.038636108,0.007858765,0.000312507,0.006203574,0.006847835,0.005268995,0.011963221,0.00636678,0.007182222,0.007435383,0.008690723,0.005299411,0.007274919,0.008419242,0.009697574,0.019531086,0.008878458,0.009255556,0.015425635,0.003581417,0.00301099,0.004844944,0.005904321,0.002284555,0.001395756,0.011129139,0.009410434,0.003789017,0.009534769,0.013938409,0.010477161,0.007793108,0.003984716,0.000495419,0.006065056,0.007287202,0.004655696,0.005154824,0.006426193,0.006926853,0.016618437,0.034307383
AKIT,0.000366603,0.000762467,1,0.001846325,0.000616047,0.000509792,0.001442263,0.001368168,0.000411099,0.000476684,0.000419753,0.002715085,0.002790921,0.001153695,0.000912237,0.002686248,0.000433788,0.000533967,0.000478494,0.000381152,0.000452475,0.00364358,0.003290341,0.003245832,0.003639654,0.000416584,0.000506847,0.003322123,0.000645292,0.017974921,0.005906359,0.001251469,0.000415096,0.000499386,0.000585381,0.001809248,0.000874571,0.00034159,0.000360528,0.003673186,0.001215428,0.000518505,0.002023419,0.002104815,0.002351205,0.003994343,0.000518497,0.007346487,0.00204597,0.00030389,0.0014118,0.004200334,0.002165449,0.001689654,0.000440656,0.000543215,0.002753178,0.002492805,0.001754834,0.001551727,0.000555843,0.000344427,0.00199705,0.000896561,0.000381415,0.002835011,0.001291823,0.001669978,0.002982383,0.00163959,0.001508251,0.001781516,0.00194004,0.001345409,0.000365362,0.000390946,0.001531058,0.001368131,0.001610972,0.000383465,0.002101494,0.001559365,0.000412494,0.002763187,0.003747695,0.000594103,0.002102329,0.00038033,0.00037447,0.000953225,0.000399271,0.0018795
AMST,0.000658041,0.016287635,0.001846325,1,0.002408673,0.026540534,0.019494418,0.015665788,0.005133652,0.023277307,0.005211739,0.011295086,0.028433207,0.009305628,0.016629122,0.018836336,0.003220647,0.131452227,0.019689196,0.041754293,0.006525225,0.016619157,0.009404465,0.012332642,0.043572725,0.097154476,0.021652945,0.020338948,0.03055413,0.002282336,0.001442906,0.005867791,0.015101802,0.012079026,0.011659514,0.014425744,0.021509067,0.005166275,0.007734755,0.018328085,0.011201944,0.089089915,0.008000688,0.006998672,0.016206538,0.016668814,0.024031724,0.00637374,0.013325772,0.010034455,0.015644836,0.012917809,0.001658452,0.012002894,0.008920831,0.016715676,0.020832684,0.009786309,0.026739284,0.01756222,0.018086404,0.005643328,0.020261792,0.006285561,0.016239393,0.016620729,0.017860418,0.018244984,0.058691083,0.012636264,0.010597429,0.008771885,0.014860826,0.009077572,0.003710029,0.016996108,0.03644098,0.003577886,0.017060224,0.015869775,0.011230105,0.135569266,0.006564166,0.003975858,0.020307227,0.016893814,0.007766656,0.00481732,0.020917868,0.020475404,0.011764412,0.030893303
ANAT,0.01569936,0.000458265,0.000616047,0.002408673,1,0.00406656,0.004093702,0.002724307,0.002204805,0.001109146,0.001709942,0.000726069,0.002040307,0.001560782,0.001410306,0.000730394,0.01046548,0.004327811,0.003554551,0.000700575,0.000986349,0.004405362,0.003342515,0.005650255,0.004007453,0.000830394,0.001659051,0.002734704,0.007564796,0.000525185,0.000707814,0.000627321,0.001501308,0.003246398,0.006915903,0.001152834,0.004716982,0.000577615,0.000642729,0.001195955,0.001146452,0.00136539,0.000762725,0.000498269,0.000960829,0.005971587,0.001365331,0.002346137,0.005800467,0.000477457,0.00125776,0.008365643,0.00124308,0.004611394,0.002553297,0.005747039,0.00673154,0.002061945,0.001518067,0.001036085,0.001658816,0.000585775,0.001135308,0.002011151,0.0023144,0.001062079,0.001037943,0.00537772,0.004135107,0.004781813,0.003346138,0.002337316,0.004673827,0.003494323,0.003039343,0.002423047,0.000803124,0.000798641,0.001311134,0.000708429,0.001038158,0.001306744,0.000814301,0.010544554,0.003679905,0.008685821,0.004593474,0.000697805,0.000678329,0.0008646,0.002497646,0.001623854
AUCD,0.000534802,0.01103339,0.000509792,0.026540534,0.00406656,1,0.030563102,0.011183927,0.00703387,0.008001694,0.004117272,0.037839184,0.01250545,0.006020445,0.068043039,0.007718463,0.002894176,0.009636313,0.011731715,0.006253443,0.007099245,0.014186065,0.005431482,0.006908065,0.009441384,0.006442664,0.021982653,0.010417049,0.011777579,0.00223479,0.000571059,0.005663035,0.003963805,0.006808536,0.007921417,0.005316156,0.008840865,0.005106058,0.006790812,0.010890732,0.004692803,0.011141607,0.014260328,0.003173343,0.007859583,0.009119051,0.0154961,0.014587669,0.008458232,0.004066316,0.007665454,0.005606938,0.000560808,0.009964901,0.010143437,0.007018982,0.02093307,0.005299811,0.00771824,0.008524007,0.010576295,0.003382843,0.014316343,0.005824655,0.011396783,0.01938048,0.021008242,0.010636502,0.015305084,0.007481384,0.005667091,0.004811991,0.01062284,0.004478692,0.004464813,0.010341218,0.006677857,0.002645189,0.012037691,0.025889331,0.006987617,0.011033011,0.005201504,0.001661936,0.008129521,0.011950477,0.007135935,0.003212204,0.005584762,0.010731579,0.007977704,0.013761695
AUSS,0.0005441,0.016550603,0.001442263,0.019494418,0.004093702,0.030563102,1,0.01064653,0.008540685,0.010900112,0.007992251,0.04528887,0.023886291,0.004934594,0.078666617,0.009244561,0.002731778,0.009272175,0.008271535,0.005042058,0.008194584,0.011449086,0.008865385,0.006341722,0.01022075,0.003498033,0.054407263,0.010778291,0.009975137,0.001784885,0.006303486,0.005832976,0.004518411,0.012609521,0.015451656,0.010508681,0.008266662,0.005471824,0.006168981,0.013072015,0.011636406,0.013822999,0.011926898,0.007263942,0.011229265,0.016670451,0.011262238,0.039365335,0.00956582,0.00134261,0.008385401,0.010106757,0.005648729,0.008210524,0.007861815,0.007940477,0.017221806,0.009795407,0.009884564,0.006962465,0.010702644,0.004148369,0.012707353,0.011233788,0.00903556,0.031195629,0.036947818,0.014656013,0.045399936,0.015281016,0.011871509,0.004907156,0.009621101,0.002885314,0.005590611,0.008640821,0.007122237,0.004237035,0.010541906,0.078117547,0.012203414,0.008385494,0.006183605,0.001755146,0.00855147,0.010170602,0.007502293,0.003087657,0.00792623,0.011362739,0.01271824,0.014109071
AUST,0.00047424,0.011294727,0.001368168,0.015665788,0.002724307,0.011183927,0.01064653,1,0.00799208,0.011119256,0.005879355,0.005485354,0.009201608,0.003786746,0.012302355,0.010645118,0.001925563,0.014987465,0.006691887,0.009821477,0.004114889,0.009803267,0.004523327,0.021858408,0.005931052,0.005538031,0.007798652,0.005231182,0.010946213,0.003260238,0.000502534,0.01059648,0.005682855,0.009737307,0.00650796,0.012085175,0.005814278,0.006061593,0.005405546,0.007001696,0.009134339,0.020304357,0.006446841,0.008571816,0.008145792,0.009641999,0.005085531,0.002798031,0.007785081,0.003575461,0.005792992,0.01009019,0.000494578,0.008358022,0.005084871,0.005735218,0.008925574,0.005749119,0.005964134,0.010254126,0.00895449,0.005330869,0.007055939,0.014840493,0.024154857,0.006065893,0.009046744,0.018197615,0.024529595,0.010143506,0.006049508,0.008892294,0.0052925,0.004387098,0.003999035,0.017299799,0.015227462,0.008136994,0.007811287,0.005813956,0.010288691,0.017483534,0.003487346,0.001189779,0.007452625,0.013036695,0.004772702,0.004815464,0.010259001,0.007846489,0.012596789,0.098958881
BASS,0.0011615,0.004908306,0.000411099,0.005133652,0.002204805,0.00703387,0.008540685,0.00799208,1,0.044162449,0.003840365,0.004600921,0.006091959,0.003801566,0.005519216,0.004057957,0.003611702,0.007299374,0.005473006,0.004572148,0.00696703,0.011943581,0.0055761,0.006835822,0.004143327,0.005455888,0.006518113,0.010834576,0.008561325,0.002087624,0.000450035,0.003977746,0.004249091,0.006007613,0.013930635,0.009851831,0.007244644,0.00322563,0.004694989,0.008587955,0.008308845,0.005329479,0.00393964,0.004205787,0.004339129,0.011183237,0.005535633,0.00474463,0.01244115,0.002948091,0.005500885,0.016894356,0.001281582,0.004168689,0.005851885,0.004879449,0.004693008,0.0033841,0.004263443,0.006603454,0.006036866,0.004874197,0.008373953,0.004054042,0.004929585,0.004492243,0.008447131,0.007002516,0.008805594,0.004683938,0.004729055,0.010652517,0.00417034,0.004944294,0.001177002,0.003975574,0.003482505,0.002258937,0.005150506,0.003063618,0.008472564,0.006747723,0.004749584,0.000932292,0.002571954,0.007178863,0.008877562,0.004682261,0.009178722,0.004377479,0.006525479,0.008747303
BEAG,0.000498482,0.01123086,0.000476684,0.023277307,0.001109146,0.008001694,0.010900112,0.011119256,0.044162449,1,0.003031428,0.005069491,0.009135521,0.004307588,0.008764649,0.01104392,0.001919121,0.015583905,0.004561624,0.008057697,0.004816524,0.010482258,0.005081221,0.004973074,0.007030894,0.009884249,0.008269842,0.009635271,0.010709393,0.002426845,0.000529838,0.008726481,0.008180173,0.010948835,0.016175837,0.01324398,0.005676939,0.003738962,0.003239273,0.016962178,0.009549888,0.006968016,0.00567548,0.013013677,0.004545615,0.008602169,0.008420325,0.002995714,0.010081313,0.003950695,0.007477417,0.007869135,0.000521001,0.011475536,0.004881313,0.004575193,0.00958563,0.003307656,0.004426996,0.00918877,0.014010566,0.004488733,0.010034823,0.008275426,0.006165685,0.011646661,0.007090171,0.007879888,0.016958973,0.009253117,0.010647742,0.004307116,0.006718079,0.002393474,0.002140323,0.007029155,0.012775545,0.00188707,0.008926719,0.005926848,0.007790508,0.009405627,0.005811603,0.001355112,0.005839882,0.014478119,0.011138531,0.003054441,0.00848334,0.007727142,0.008019869,0.012083897
