,ACKR,AFGH,AIRT,AKIT,AMAL,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BEDT,BELS,BERD,BICH,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BPIC,BRIA,BRIT,BRTR,BRUS,BSJI,BULD,BULM,BULT,CAIR,CANE,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COTO,CRES,DACH,DALM,DANE,DDBX,DEER,DOBP,ECKR,ESET,ESSP,EURA,FBUL,FCR,FIEL,FINS,GLEN,GOLD,GORD,GPYR,GREE,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ICES,IRIT,ISET,ITGY,IWOF,IWSP,JACK,KEES,KELP,KOMO,KUVZ,LAB,LEON,LHSA,LMUN,MAST,MBLT,MPIN,MPOO,MSNZ,NELK,NEWF,NORF,NOWT,NSDT,OES,OTTR,PAPI,PARS,PBGV,PEMB,PHAR,POM,PTWD,PUG,PULI,PUMI,RHOD,ROTT,SALU,SAMO,SCOT,SCWT,SHAR,SHIB,SHIH,SILK,SKIP,SLOU,SPIN,SPOO,SSHP,SSNZ,STAF,STBD,SVAL,TIBM,TIBS,TIBT,TPOO,TURV,VIZS,VPIN,WEIM,WFOX,WHIP,WHWT,YORK
ACKR,1.000000000000,0.000441864429,0.007615715379,0.001561267588,0.001719220847,0.012866208409,0.000863079320,0.004689875940,0.016179669746,0.004814652950,0.008677454466,0.012020846762,0.007884867412,0.002907363467,0.005225679615,0.014959751610,0.006019820042,0.004600671010,0.005812111404,0.007120071554,0.005195539036,0.012278240142,0.006137061603,0.007163973379,0.005302606634,0.005986685621,0.015414476929,0.011557405519,0.009436532599,0.000370539488,0.008616865968,0.007651142880,0.004339254430,0.004887511514,0.007097981696,0.006416928421,0.011672555389,0.011655824327,0.005634606610,0.000466327115,0.025511602741,0.010590188665,0.008890690081,0.013964547649,0.019264793062,0.004510652457,0.003704066503,0.003902850853,0.003998097194,0.153236124936,0.020254353208,0.050309593281,0.002121862179,0.004665103202,0.008981240511,0.058985512057,0.001137404942,0.008015345237,0.007683886629,0.021489721542,0.008308749994,0.001121026467,0.005821761724,0.003465163959,0.014276958187,0.007414959917,0.009911755675,0.013282487990,0.001803870711,0.005450354472,0.004594898146,0.013236010886,0.008355943677,0.006453327081,0.025391399146,0.017216573297,0.005087050418,0.005736588473,0.002962649087,0.007741514860,0.012887674869,0.006016194265,0.005190167544,0.010959023908,0.002212599169,0.005013228045,0.018046365703,0.007776353598,0.005113480077,0.006105163957,0.007727227155,0.006147753914,0.003330870642,0.047614595439,0.015296660977,0.004210972658,0.012702444961,0.014361713346,0.007832780864,0.004971762836,0.011617099273,0.008474693292,0.012114989826,0.003437344047,0.014348797768,0.009356765078,0.008368191601,0.004238775152,0.000972627131,0.002538757486,0.004355523207,0.007321877600,0.004299655715,0.002203442018,0.003595096274,0.016012219530,0.010037135091,0.002609652633,0.006940429349,0.012489791858,0.003290739078,0.008586140198,0.012046083916,0.003744553572,0.006410749308,0.001005031546,0.003961695320,0.008757519206,0.012055604949,0.003734842607,0.010918020198,0.009125302990,0.005246903361,0.004365392819,0.005130279809,0.004743258645,0.017153241648
AFGH,0.000441864429,1.000000000000,0.000730358548,0.000366602569,0.000414484582,0.000658041083,0.015699360436,0.000534801708,0.000544100073,0.000474240143,0.001161499939,0.000498482001,0.000329607739,0.000436563014,0.000402937348,0.000589224824,0.000627109466,0.000378711690,0.000551401132,0.002941562014,0.005686479212,0.000561469755,0.000500461288,0.000394961115,0.000284865476,0.000472068709,0.000551591498,0.000440780102,0.000444263305,0.000624440424,0.000500559779,0.000464369366,0.000433136168,0.000561557305,0.000831815304,0.000531562011,0.000490769639,0.000685893759,0.000332381926,0.000397251676,0.000370565932,0.000431527336,0.000523361716,0.001312957194,0.002840968414,0.000537938111,0.000389555219,0.000352640027,0.000372859225,0.000515291933,0.000505880303,0.000491337846,0.001001553164,0.000544399245,0.000413978682,0.000321394244,0.000978986395,0.000484639295,0.000466143147,0.000597013071,0.000395942450,0.000299590496,0.000544389992,0.000434379738,0.000609580775,0.000312604965,0.000526437780,0.000628877539,0.000392263446,0.000432921176,0.000306415641,0.000442570993,0.000463850510,0.000372405538,0.000465832829,0.000686269973,0.000459219074,0.000511740953,0.005846693770,0.002548636698,0.000574633934,0.000418460660,0.001998654813,0.000537333709,0.000468037373,0.000462890123,0.001264879648,0.000585708058,0.000355664724,0.000586067990,0.000503698659,0.000364293366,0.000395243641,0.000488747883,0.000483573060,0.000394275462,0.000585793740,0.000668412991,0.000492875686,0.000461268425,0.000668804985,0.000588473525,0.000477561327,0.000337590944,0.000573889723,0.001942294444,0.002838698059,0.000390893608,0.068444424110,0.001077901214,0.000405488261,0.000425598259,0.000519248426,0.000407133444,0.000424336047,0.000658610390,0.000533603407,0.011142286169,0.000493634584,0.000509927875,0.000397445428,0.000483619883,0.001537790545,0.000428716690,0.000362740467,0.005125631398,0.002611104467,0.001648904252,0.000628347751,0.000517909684,0.000531604099,0.000677871891,0.000394079206,0.000387791392,0.000442262732,0.000414450862,0.000581289074
AIRT,0.007615715379,0.000730358548,1.000000000000,0.000762466804,0.000326449946,0.016287635350,0.000458265267,0.011033389513,0.016550603189,0.011294727319,0.004908305569,0.011230860206,0.008794358630,0.002379438477,0.005201322522,0.003897295027,0.003305704058,0.002133178326,0.010029020890,0.012304987836,0.001969344214,0.015398816968,0.008841321984,0.005682348383,0.006572522697,0.003727525650,0.008829520294,0.052323413768,0.006266157015,0.000268653421,0.013465604819,0.007402050763,0.008315663572,0.012960832536,0.006894933847,0.007779107664,0.007327557561,0.006352505105,0.005575006584,0.000315664773,0.011286741674,0.007284583385,0.008393839238,0.005772380009,0.014560339661,0.005497199431,0.005035454515,0.003621795409,0.008012827504,0.007989746282,0.008484934484,0.010976038571,0.003285932206,0.011303921485,0.008907222831,0.003257427881,0.004483067589,0.017625509205,0.015868327771,0.011964131947,0.002000243470,0.000653287345,0.007667092217,0.001415812722,0.008711096427,0.008172961021,0.038636108239,0.007858764740,0.000312506944,0.005136126009,0.021031548605,0.005445553089,0.006203573763,0.003309374659,0.006006587860,0.012513801158,0.006847835074,0.016810564722,0.004074385293,0.005268995391,0.011963221072,0.006366779589,0.001801309345,0.005962733879,0.007182221728,0.006667580072,0.007435383422,0.008690723368,0.005299411359,0.004044559314,0.007274919292,0.008419241575,0.009697573654,0.019531085943,0.008878458308,0.014628085350,0.009255556133,0.015425635014,0.004430405261,0.005964937687,0.004043975438,0.003581416994,0.003010989963,0.004844943875,0.006735958676,0.005904320779,0.018594490668,0.002284555260,0.000487414133,0.001395756429,0.011129139336,0.009410434054,0.001777772804,0.000321872639,0.003789016742,0.016535269721,0.009534769119,0.000970879818,0.003735408776,0.004127368540,0.013938409332,0.010477160961,0.007793107705,0.003984716225,0.003297210413,0.000495418902,0.002562124877,0.006065055602,0.007287202389,0.005143521174,0.004655696473,0.007289668299,0.005154823758,0.006426193092,0.006926852802,0.016618436538,0.034307383262
AKIT,0.001561267588,0.000366602569,0.000762466804,1.000000000000,0.002303830252,0.001846325108,0.000616046520,0.000509791702,0.001442263496,0.001368168143,0.000411099121,0.000476684402,0.002668061665,0.000419752966,0.002715085159,0.000559009421,0.002790921126,0.001153694968,0.000912236541,0.002686248209,0.000433788037,0.000533967433,0.000478494059,0.000381151542,0.003981686045,0.000452474508,0.003643580339,0.003290341169,0.003245832246,0.000316117603,0.001734831919,0.003639653547,0.000416583986,0.000534046615,0.000622486074,0.000506847095,0.003322122679,0.000645292306,0.017974920890,0.005906358844,0.001251468715,0.000415095556,0.000499386265,0.000585381070,0.001809248405,0.000874571416,0.000376114654,0.000341589959,0.000360527838,0.003673186180,0.001215428239,0.001351684738,0.002819961474,0.000518505259,0.002023418757,0.002104815337,0.000355860744,0.001397331318,0.002351205324,0.003994342657,0.000382065374,0.001905702089,0.000518496864,0.007346486692,0.002045970026,0.000303890490,0.001411800078,0.004200333731,0.002165449412,0.001697184035,0.000298038206,0.000425304232,0.001689654337,0.000842799538,0.000952554884,0.001201330467,0.000440656085,0.000488795047,0.000521268434,0.000543215081,0.002753177613,0.002492804536,0.002271259516,0.001895141561,0.001754834426,0.000444035250,0.001551726994,0.000555843116,0.000344427304,0.000556167268,0.001997050084,0.000896560689,0.000381414650,0.002835010632,0.001291823103,0.001791232789,0.001669977859,0.002982383471,0.001912282507,0.001635048580,0.000367028407,0.001639589975,0.001508250797,0.001781515763,0.001377265622,0.001940039896,0.002308724283,0.001345409215,0.000669902201,0.000365361544,0.000390946279,0.001531057661,0.005815425717,0.020608476550,0.001368130910,0.001240321992,0.001610972059,0.000678271607,0.003299748895,0.000487140653,0.000383464658,0.002101494020,0.001559365470,0.000412494238,0.000351058819,0.002763187493,0.001651182768,0.003747694992,0.000594103296,0.000494419941,0.002102329335,0.005091691681,0.000380330161,0.000374470183,0.000953225339,0.000399270958,0.001879499862
AMAL,0.001719220847,0.000414484582,0.000326449946,0.002303830252,1.000000000000,0.003132598743,0.000764444496,0.003477666105,0.004451825353,0.001938530013,0.000472279822,0.001500832338,0.001133611780,0.002037357040,0.001381912758,0.001861511034,0.004518116454,0.002136898343,0.003038042124,0.002228784615,0.001667097153,0.003559308363,0.002061655666,0.001520375586,0.004796903673,0.003580064534,0.003060917403,0.000488920112,0.000493209404,0.000351090917,0.003136681322,0.003766873300,0.000479533108,0.001862790003,0.002983730826,0.004249069370,0.007738610111,0.004239099442,0.001662463658,0.004183679301,0.000404008724,0.003158262215,0.004137860813,0.002081686351,0.002396927953,0.002355796849,0.001728110208,0.003118777963,0.002455134227,0.003366340706,0.003460962583,0.004224446785,0.004436519447,0.002672738482,0.004165232401,0.001096483244,0.001979270806,0.001633220073,0.006607150285,0.002594241728,0.001079500652,0.363077270849,0.004776010823,0.013358033216,0.002886096242,0.001848710384,0.000596595106,0.002203324606,0.170734979363,0.006762850696,0.003397573221,0.002441328957,0.003123533188,0.001500640362,0.004494855153,0.003523518049,0.001981010554,0.006637286223,0.004557249686,0.001870388830,0.010459298959,0.003372734738,0.001725676598,0.000758736315,0.006261115922,0.000516273225,0.003464671885,0.001502302434,0.001491770698,0.002224128030,0.017600104296,0.001242150331,0.000433519005,0.003102325568,0.009178450615,0.000432354505,0.002514481880,0.003880804576,0.000553854563,0.002625587085,0.001473268300,0.001961121808,0.003655247183,0.001024462051,0.001962694025,0.003719447559,0.002433990277,0.000428291236,0.000849155493,0.010417606210,0.000445874889,0.001650701301,0.001405044898,0.002297303386,0.001699762337,0.003597916281,0.000605814620,0.000862648245,0.003896689457,0.002692567291,0.002188573731,0.000542193909,0.001853317120,0.004065584919,0.003441873541,0.000873750839,0.002390894390,0.001630798102,0.001581999036,0.002197878358,0.001908490976,0.002753211393,0.001947478664,0.002370282661,0.002533801563,0.001656125329,0.002287863933
AMST,0.012866208409,0.000658041083,0.016287635350,0.001846325108,0.003132598743,1.000000000000,0.002408672624,0.026540534356,0.019494418479,0.015665788040,0.005133651644,0.023277306861,0.007811985445,0.005211739025,0.011295086279,0.021044757708,0.028433207327,0.009305627536,0.016629122283,0.018836335587,0.003220647046,0.131452226945,0.019689195822,0.041754293132,0.005412134884,0.006525225313,0.016619156716,0.009404465287,0.012332642442,0.001493223474,0.085701000562,0.043572724993,0.097154476115,0.024697904499,0.056620488322,0.021652945262,0.020338947992,0.030554129690,0.002282336114,0.001442906469,0.005867790709,0.015101802484,0.012079025921,0.011659513553,0.014425744136,0.021509067088,0.030747064426,0.005166275242,0.007734754547,0.018328084673,0.011201944201,0.010727001861,0.003262149920,0.089089915221,0.008000688002,0.006998672007,0.003827557164,0.049239754354,0.016206537790,0.016668813803,0.003001217271,0.000450139097,0.024031724245,0.006373740226,0.013325771977,0.010034455144,0.015644835826,0.012917809062,0.001658452076,0.009785738530,0.011741429583,0.007730567267,0.012002894494,0.004696541452,0.012627372813,0.075279277397,0.008920831003,0.008438874028,0.005717482951,0.016715676062,0.020832683907,0.009786309344,0.007723929716,0.014007568830,0.026739284198,0.096821521838,0.017562219661,0.018086403544,0.005643327906,0.011321943890,0.020261792366,0.006285561444,0.016239392927,0.016620729270,0.017860417954,0.008621989245,0.018244984371,0.058691083480,0.007717644497,0.018922372571,0.004488665258,0.012636264209,0.010597429294,0.008771885390,0.008609057801,0.014860826307,0.018232963777,0.009077572500,0.003512869094,0.003710028554,0.016996107624,0.036440980086,0.007942430280,0.003444612324,0.003577885876,0.037530044860,0.017060224453,0.003437231156,0.012100784141,0.007868085969,0.015869774668,0.011230105043,0.135569265647,0.006564165696,0.007151073529,0.003975858429,0.004312514413,0.020307226758,0.016893814103,0.012052383610,0.007766656250,0.022747182868,0.004817319743,0.020917868300,0.020475404385,0.011764411891,0.030893303294
ANAT,0.000863079320,0.015699360436,0.000458265267,0.000616046520,0.000764444496,0.002408672624,1.000000000000,0.004066560438,0.004093702193,0.002724307167,0.002204805224,0.001109145515,0.000518292134,0.001709941870,0.000726068840,0.001687337889,0.002040306675,0.001560781556,0.001410305526,0.000730394261,0.010465479567,0.004327811202,0.003554551387,0.000700574822,0.000604181321,0.000986348769,0.004405361946,0.003342515484,0.005650255134,0.002102791747,0.001119485038,0.004007452597,0.000830394259,0.001478706709,0.010332022704,0.001659050933,0.002734704114,0.007564795736,0.000525184805,0.000707814104,0.000627321256,0.001501307543,0.003246398275,0.006915902722,0.001152833656,0.004716982408,0.000683744491,0.000577614851,0.000642729432,0.001195954857,0.001146451545,0.001599247627,0.000806418446,0.001365389668,0.000762725434,0.000498269045,0.000764503022,0.001042867351,0.000960828720,0.005971586774,0.002264607397,0.000447749020,0.001365331460,0.002346137040,0.005800467076,0.000477456876,0.001257760094,0.008365643124,0.001243079726,0.000829604412,0.001882854306,0.004033859023,0.004611394012,0.006821732482,0.002617489010,0.005638317822,0.002553297302,0.001176999335,0.008494684805,0.005747039427,0.006731539862,0.002061945469,0.001466163685,0.004505485374,0.001518067322,0.000947109286,0.001036085050,0.001658815785,0.000585774631,0.001661706092,0.001135307715,0.002011151356,0.002314399850,0.001062079464,0.001037942708,0.003044673137,0.005377719814,0.004135107127,0.001281521549,0.000940344942,0.003386481403,0.004781812806,0.003346137527,0.002337315992,0.007130996039,0.004673827150,0.003235990468,0.003494323191,0.114999658243,0.003039342581,0.002423047443,0.000803123741,0.001217485672,0.000687509726,0.000798640868,0.002416317973,0.001311133560,0.015257397234,0.002567926003,0.002964389960,0.000708429450,0.001038158448,0.001306743623,0.000814300950,0.000605218284,0.010544553837,0.000877573980,0.003679905326,0.008685820788,0.001176148332,0.004593473545,0.006373050170,0.000697804856,0.000678329183,0.000864600253,0.002497646365,0.001623853957
AUCD,0.004689875940,0.000534801708,0.011033389513,0.000509791702,0.003477666105,0.026540534356,0.004066560438,1.000000000000,0.030563101780,0.011183927266,0.007033870014,0.008001694320,0.007494071038,0.004117272068,0.037839183849,0.011835820902,0.012505449911,0.006020445238,0.068043039424,0.007718462795,0.002894175994,0.009636312698,0.011731714685,0.006253442746,0.005654792476,0.007099245350,0.014186064837,0.005431482250,0.006908064785,0.000433748774,0.009388839389,0.009441383988,0.006442663883,0.013158999997,0.012341763862,0.021982653098,0.010417049480,0.011777579469,0.002234789691,0.000571059252,0.005663035405,0.003963805243,0.006808535947,0.007921417105,0.005316155665,0.008840865132,0.005383554123,0.005106057615,0.006790812134,0.010890732007,0.004692803417,0.009024179182,0.003321589154,0.011141607034,0.014260328485,0.003173343130,0.002004874183,0.010074995674,0.007859582790,0.009119050504,0.007568384754,0.000895649244,0.015496099954,0.014587668748,0.008458231502,0.004066315698,0.007665453983,0.005606937822,0.000560807507,0.007843478756,0.004415751619,0.005073696865,0.009964901203,0.004452279868,0.007512735972,0.017806012425,0.010143437304,0.075320901200,0.005894658727,0.007018982201,0.020933069699,0.005299811473,0.003907852186,0.006365371943,0.007718239589,0.011712944632,0.008524006875,0.010576295446,0.003382842621,0.006327123852,0.014316342794,0.005824655157,0.011396783233,0.019380480074,0.021008241914,0.007373011254,0.010636501534,0.015305083807,0.005701540321,0.018607704244,0.002703874694,0.007481383708,0.005667091242,0.004811991242,0.009932791694,0.010622839747,0.013166340872,0.004478692070,0.001575156486,0.004464813398,0.010341218244,0.006677857367,0.004174761803,0.002541692312,0.002645189089,0.015292343415,0.012037690742,0.009325823749,0.006423462702,0.009252279333,0.025889331250,0.006987617473,0.011033010886,0.005201503514,0.005868094312,0.001661935767,0.002298568192,0.008129521333,0.011950476977,0.007179478951,0.007135935138,0.014093195391,0.003212203973,0.005584762371,0.010731578718,0.007977704396,0.013761694635
AUSS,0.016179669746,0.000544100073,0.016550603189,0.001442263496,0.004451825353,0.019494418479,0.004093702193,0.030563101780,1.000000000000,0.010646529865,0.008540684812,0.010900111553,0.005191452354,0.007992250582,0.045288869638,0.007759764558,0.023886291359,0.004934593636,0.078666616631,0.009244560609,0.002731778083,0.009272175296,0.008271534895,0.005042058478,0.011583554601,0.008194583871,0.011449086496,0.008865384816,0.006341721507,0.000439845170,0.007107358438,0.010220749542,0.003498032680,0.017724620062,0.015150186419,0.054407263331,0.010778291099,0.009975137252,0.001784885077,0.006303485729,0.005832976025,0.004518410848,0.012609521448,0.015451655890,0.010508681338,0.008266661928,0.009905744536,0.005471824283,0.006168981218,0.013072014940,0.011636405507,0.010372408377,0.006785248262,0.013822998786,0.011926897888,0.007263942145,0.003675049018,0.020211587119,0.011229265320,0.016670451460,0.002655852965,0.001451255378,0.011262237683,0.039365334565,0.009565820105,0.001342610376,0.008385401326,0.010106756797,0.005648728878,0.009066853720,0.006093320753,0.007556291956,0.008210524059,0.005448712257,0.013327161599,0.018913188284,0.007861815243,0.053371248865,0.002957470962,0.007940477062,0.017221806422,0.009795406836,0.005797111502,0.008121402556,0.009884563836,0.005563337773,0.006962465331,0.010702644442,0.004148369358,0.007641679827,0.012707352740,0.011233787913,0.009035559878,0.031195629031,0.036947817640,0.009748174270,0.014656013477,0.045399935700,0.003694744570,0.038155711259,0.002622342129,0.015281015649,0.011871509329,0.004907156431,0.006645914817,0.009621100860,0.010084810939,0.002885313560,0.001658642057,0.005590611377,0.008640820928,0.007122236660,0.000886727935,0.003556941741,0.004237035063,0.012010493260,0.010541906011,0.001710912978,0.007879803776,0.007165081316,0.078117546530,0.012203413614,0.008385493900,0.006183605384,0.003686377208,0.001755145758,0.004700898820,0.008551469671,0.010170601668,0.010302516394,0.007502293440,0.016624518856,0.003087656619,0.007926230116,0.011362738570,0.012718239646,0.014109071168
AUST,0.004814652950,0.000474240143,0.011294727319,0.001368168143,0.001938530013,0.015665788040,0.002724307167,0.011183927266,0.010646529865,1.000000000000,0.007992080478,0.011119255908,0.011440790157,0.005879354865,0.005485353755,0.011252437551,0.009201607879,0.003786746109,0.012302354597,0.010645117768,0.001925563273,0.014987465136,0.006691886540,0.009821477288,0.005476543875,0.004114889335,0.009803266645,0.004523327198,0.021858407551,0.000393040596,0.011069744434,0.005931051951,0.005538030930,0.019348066655,0.010490704066,0.007798651696,0.005231181746,0.010946212903,0.003260238399,0.000502533726,0.010596479523,0.005682855273,0.009737306767,0.006507960114,0.012085175434,0.005814278354,0.005829726220,0.006061593270,0.005405545566,0.007001696223,0.009134338994,0.007942581418,0.002818884771,0.020304356862,0.006446840625,0.008571815661,0.001980482882,0.014679346738,0.008145792457,0.009641998781,0.004344635501,0.000355807319,0.005085531093,0.002798031401,0.007785081473,0.003575460996,0.005792991979,0.010090189777,0.000494577585,0.004776757320,0.019988950929,0.005818045840,0.008358021521,0.003321885228,0.007674802018,0.038870110228,0.005084871116,0.013168387232,0.003207480048,0.005735217622,0.008925574200,0.005749119076,0.005050741643,0.008274386254,0.005964134354,0.008629069940,0.010254126443,0.008954489793,0.005330869386,0.006690702478,0.007055939207,0.014840492864,0.024154856812,0.006065893408,0.009046744294,0.005475980155,0.018197614570,0.024529594810,0.006264726717,0.006086358270,0.001919814144,0.010143505564,0.006049507854,0.008892293637,0.008386708121,0.005292500323,0.008137637500,0.004387098465,0.001144633640,0.003999035460,0.017299799162,0.015227462236,0.002997881774,0.003767709553,0.008136993831,0.272716844822,0.007811286800,0.001169286482,0.008408481841,0.005455338142,0.005813955745,0.010288691196,0.017483533664,0.003487345898,0.003403614520,0.001189778762,0.004431575923,0.007452625417,0.013036695266,0.008011110185,0.004772702371,0.010788350680,0.004815464224,0.010259001410,0.007846488517,0.012596789000,0.098958881063
