breed,synonym,Parker2017,Garamszegi2020,activityCareau2010,aggressivenessCareau2010,trainabilityCareau2010,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,wJimenez2020,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lMichell1999,lProschowsky2003,,lONeill2013,lLeroy2015b,lifespan,mortalityrateCareau2010,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,n,OScardiovascular,OSdermatologic,OSendocrine,OSgastrointestinal,OShematopoietic,OShepatic,OSmusculoskeletal,OSneurologic,OSophthalmologic,OSrespiratory,OSurogenital,OSunclear,PPcongenital,PPdegenenerative,PPinfectious,PPinflammatory,PPmetabolic,PPneoplastic,PPtoxic,PPtraumatic,PPvascular,PPunclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Cocker Spaniel,American Cocker Spaniel,ACKR,ACKR,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,10,,,,,,,12.5,,,,,12.5,,,,,,,,5.3,,,,,6,,,,,,,,5.65,5.65,,,,,,200,,,,,200,0.2,200,0.2,1.13,,,,,,,,2663,0.088,0.021,0.03,0.087,0.148,0.066,0.075,0.13,0.021,0.072,0.079,0.181,0.029,0.03,0.067,0.105,0.049,0.2,0.017,0.098,0.007,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Hound,Persian Greyhound,AFGH,AFGH,90,110,80,22.68,27.216,17,36,,,27,,,,23,,24.948,,,25.75,27,23,,,,,28,22.23,,22.68,,25.483,24.303,24.893,12,18,12,14,15,13,12,,,,,13,,,,,,,,8,,,,,6,,,,,,,,7,7,,,,,,500,,,,,500,0.5,500,0.5,3.5,,,,,,,4889.512,238,0.13,0.017,0.042,0.105,0.105,0.029,0.101,0.063,0.004,0.16,0.059,0.185,0.013,0.034,0.092,0.008,0.055,0.353,0.008,0.097,0.029,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airedale Terrier,Waterside Terrier,AIRT,AIRT,110,122,101,22.68,31.751,,,,,20.5,32,,,18,22,27.216,,,23.125,26.25,20,21.05,21.05,21.05,,26,,,21.55,,24.489,22.413,23.451,11,14,10,12,12.5,11,11.2,,,,,11.475,,10,,,,,,7.4,,,,,,,,,,,,10,7.4,8.7,,,382.718,397,,,,397,397,382.718,397,0.397,389.859,0.39,3.3918,,,,,,,6880.8601,368,0.057,0.011,0.041,0.087,0.152,0.065,0.076,0.111,0.005,0.101,0.163,0.13,0.011,0.027,0.052,0.073,0.033,0.402,0.014,0.076,0.003,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,Akita,AKIT,AKIT,76,113,114,,,,,45.359,58.967,38.5,50,31.751,45.359,34,38.5,45.359,52.163,38.555,40.25,44.25,36.25,,,,,44,,,43.09,35.1,42.805,43.545,43.175,10,13,11,12,11.5,11.5,,,,,,11.5,,,,,,,,6,,,,,6.5,,,,,,,,6.25,6.25,,,,,,488.5,,,,,488.5,0.489,488.5,0.489,3.0531,,,,,,,9185.4043,222,0.05,0.018,0.014,0.212,0.05,0.032,0.135,0.122,0.099,0.068,0.072,0.131,0.104,0.018,0.072,0.027,0.045,0.207,0.018,0.104,0.005,0.401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Malamute,Alaskan Malamute,AMAL,AMAL,84,107,91,,,,,,,38.5,,,,34,,,,,36.25,38.5,34,39,39,,,40,35.83,,34.02,,36.25,37.213,36.731,10,14,12,,12,12,,,,,,12,,,,,,,,6.9,,,,,7.5,,,,,,,,7.2,7.2,,,,482,,468,,482,,,475,0.475,475,0.475,3.42,,,,,,,,415,0.065,0.022,0.046,0.135,0.099,0.031,0.152,0.113,0.005,0.084,0.075,0.173,0.024,0.007,0.089,0.034,0.055,0.342,0.007,0.089,0.005,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Staffordshire Terrier,American Staffordshire Terrier,AMST,AMST,,,,,,18,23,24.948,31.751,,,18.144,24.948,,,24.948,28.35,21.546,20.5,,,,,,,27,,,,,23.465,27,25.233,12,16,12,,14,12,,,,,,13.333,,7.5,,,,,,,,,,,outlier,,,,,,,7.5,,7.5,,,340.194,,,500,,,,340.194,500,0.5,420.097,0.42,3.1507,,,,,,,5838.5237,423,0.097,0.024,0.021,0.156,0.076,0.017,0.132,0.085,0.002,0.05,0.047,0.293,0.035,0.007,0.21,0.007,0.024,0.22,0.012,0.203,0.012,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatolian Shepherd Dog,Kangal Dog,ANAT,ANAT,,,,,,,,49.895,68.039,50,68,36.287,54.431,36.5,54.6,52.163,58.967,45.359,52.275,59,45.55,,,,,,,,,,52.219,,52.219,11,13,12,,12,12,,,,,,12,,,,,,,,,,6.2,,8,,,,,,,,,7.1,7.1,,,,,500,,,,,,500,0.5,500,0.5,3.55,,,,,,,10332.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Cattle Dog,Australian Heeler,AUCD,AUCD,,,,15.876,22.68,16,20,,,,,,,,,19.278,,,18,,,20.5,20.5,20.5,,15,,,,22.81179138,18.639,18.667,18.653,12,16,12,13,14,12.5,,,,,,13.25,,,,,,,,5.5,,,,,,,,,,,,,5.5,5.5,,,,283.5,,,,300,267,,283.5,0.284,283.5,0.284,1.5593,,,,,,,6699.8801,265,0.045,0.015,0.049,0.038,0.049,0.03,0.128,0.128,0.03,0.072,0.098,0.317,0.026,0.019,0.136,0.023,0.045,0.192,0.053,0.208,0.011,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Shepherd ,Australian Shepherd ,AUSS,AUSS,,,,,,16,32,22.68,29.483,,,18.144,24.948,,,23.814,26.082,21.546,24,,,,,,,25,,,15.88,24.36507937,23.876,20.44,22.158,12,15,12,13,13.5,12.5,,,,,,13,,7.5,,,,,,8,,,,,7,,,,,,,7.5,7.5,7.5,,,362.874,,,350,,,,362.874,350,0.35,356.437,0.356,2.6733,,,,,,,6581.0105,592,0.071,0.027,0.02,0.081,0.081,0.044,0.128,0.096,0.027,0.068,0.1,0.257,0.054,0.014,0.105,0.025,0.034,0.236,0.051,0.179,0.01,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Terrier,Australian Terrier,AUST,AUST,,,,6.804,9.072,4,7,,,,,,,,,7.938,,,5.5,,,,,,,,,,,,6.719,,6.719,11,15,14,,13,14,,,,,,13.333,,4.5,,,,,,5.5,,,,,,,,,,,,4.5,5.5,5,,,170.097,,,,,,,170.097,,,170.097,0.17,0.8505,,,,,,,4566.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
