,AFGH,AIRT,AKIT,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BELS,BERD,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BRIA,BRIT,BRTR,BRUS,BULM,BULT,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COTO,CRES,DACH,DALM,DANE,DEER,DOBP,ECKR,ESET,FBUL,FCR,FIEL,GOLD,GORD,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ITGY,KEES,KUVZ,LAB,LEON,MAST,MPIN,MPOO,MSNZ,NEWF,NORF,NOWT,NSDT,OES,PAPI,PARS,POM,PTWD,PUG,PUMI,ROTT,SAMO,SCOT,SCWT,SHIH,SKIP,SSHP,SSNZ,STAF,STBD,TIBM,TIBT,TPOO,VIZS,WEIM,WFOX,WHIP,WHWT,YORK
AFGH,1,0.822548469,0.851054303,0.8810284,0.917512743,0.879899476,0.881952428,0.866468035,0.852595362,0.863141772,0.854817416,0.84877289,0.89097534,0.841183388,0.878783572,0.837951051,0.872818371,0.85881296,0.870837008,0.765269419,0.864780439,0.880069636,0.853751531,0.862975772,0.840092937,0.792287729,0.873578022,0.861892312,0.904165721,0.844782,0.85473735,0.829525431,0.857092559,0.875884563,0.893338688,0.86845808,0.873777097,0.823330207,0.848033359,0.862515801,0.866580629,0.852657381,0.841610398,0.830780689,0.8569484,0.885694647,0.854972684,0.842987893,0.886229685,0.817408865,0.875976004,0.897598142,0.864485967,0.863647412,0.86273611,0.89232527,0.882583377,0.853319089,0.846776536,0.864382507,0.888887292,0.825560794,0.867711737,0.823853686,0.834044094,0.861502505,0.865379201,0.883688811,0.893485424,0.889272258,0.866755901,0.825049954,0.88354602,0.846399781,0.870140958,0.844605526,0.843107253,0.859132597,0.873303666,0.837797714,0.872269922,0.848577166,0.853805079,0.916324592,0.875178244,0.891491749,0.873681462,0.845959289,0.832413395,0.85109489,0.84598919,0.881291487
AIRT,0.822548469,1,0.802552709,0.8696533,0.857800797,0.854233589,0.856769438,0.845270799,0.827124566,0.841092743,0.830091812,0.829945347,0.863740179,0.816966593,0.85315793,0.824710312,0.84026189,0.846483973,0.84914133,0.75852869,0.838535481,0.856564275,0.839017848,0.837573872,0.826313472,0.792205441,0.851614285,0.839952457,0.872625283,0.812872598,0.798827989,0.808503138,0.830329877,0.852496384,0.865574201,0.846539917,0.84947298,0.80937323,0.826420083,0.842285843,0.845335163,0.83950552,0.821162439,0.814030859,0.83707462,0.862097306,0.838966939,0.819460086,0.86032441,0.800286581,0.858697567,0.868401566,0.812335964,0.838766625,0.835977849,0.857599249,0.861567265,0.830195468,0.831496303,0.844016848,0.861733526,0.805444207,0.845980222,0.813157266,0.816183837,0.839780763,0.843079693,0.856688081,0.873574398,0.862175152,0.842446691,0.801798401,0.852111884,0.825007957,0.828402484,0.828207492,0.827074289,0.82572936,0.847777558,0.817017931,0.846769903,0.838952338,0.831223206,0.847741606,0.840958841,0.86373528,0.847046629,0.825455198,0.820681897,0.832185005,0.828557226,0.864429507
AKIT,0.851054303,0.802552709,1,0.861522589,0.883251822,0.859807701,0.861958234,0.847284725,0.828921641,0.84166114,0.834711534,0.829529682,0.871431283,0.822222387,0.857887331,0.820750814,0.847272118,0.839424648,0.849056118,0.75040585,0.841388598,0.856672855,0.831977649,0.842839579,0.823138031,0.77479311,0.851877045,0.843828533,0.883585565,0.845939084,0.900180566,0.808047328,0.83744415,0.857896486,0.868573459,0.848008701,0.851729085,0.803160134,0.827224242,0.844244699,0.844396728,0.832609398,0.821895888,0.811489885,0.836090352,0.862414087,0.834054139,0.824499177,0.86324268,0.799011968,0.854038322,0.873680774,0.881288509,0.840131535,0.844943259,0.867888602,0.861145359,0.832131401,0.827438321,0.844135499,0.865403746,0.806659431,0.84845602,0.803569921,0.816739516,0.841416728,0.843817378,0.863319397,0.871390143,0.869685204,0.846954191,0.808962439,0.858875915,0.825607662,0.861295492,0.825322333,0.82098824,0.85195485,0.854136118,0.817461402,0.852708474,0.832181213,0.831797892,0.918877309,0.862633717,0.872012987,0.84993551,0.822037746,0.815412086,0.827481412,0.827367352,0.861089312
AMST,0.8810284,0.8696533,0.861522589,1,0.926420988,0.928215657,0.928476548,0.910377399,0.886270783,0.901829337,0.896409859,0.894691807,0.939888514,0.883826904,0.922060001,0.888711063,0.903711129,0.942790249,0.921077589,0.84265087,0.903679598,0.919932622,0.89522034,0.900713835,0.907135202,0.874901375,0.920865118,0.90973757,0.945615133,0.86926346,0.857563272,0.865221079,0.893128331,0.917766602,0.930346491,0.912400249,0.926797165,0.867525572,0.884704919,0.903296305,0.906300018,0.934887962,0.884500417,0.866432556,0.902212984,0.924761007,0.905200742,0.878788076,0.925712462,0.85828219,0.920877081,0.938635642,0.874593112,0.905289159,0.900910882,0.929870686,0.93473876,0.898037128,0.907666635,0.905231045,0.926625113,0.859852155,0.917242519,0.866036672,0.878632755,0.906555722,0.912471906,0.927261027,0.951760922,0.928826081,0.905680205,0.856706544,0.921168225,0.890441775,0.893797777,0.888648516,0.898834506,0.883051727,0.91174169,0.875744746,0.915924349,0.937899888,0.898385178,0.91710745,0.907129998,0.9334827,0.912433425,0.881879636,0.879155408,0.898626529,0.889609127,0.931740364
ANAT,0.917512743,0.857800797,0.883251822,0.926420988,1,0.924838507,0.928537927,0.909111085,0.89138673,0.904529128,0.896729591,0.89115356,0.939168314,0.879817213,0.92330094,0.877498518,0.912391144,0.902279425,0.915804303,0.799744448,0.905740568,0.926392406,0.89108703,0.904073168,0.88082787,0.823650069,0.917379565,0.905471794,0.955840845,0.882365824,0.886124128,0.866682188,0.901479967,0.921200321,0.939362174,0.913391525,0.918343487,0.858607306,0.885983054,0.905686823,0.911075201,0.893575302,0.879755022,0.869418026,0.898912534,0.931656828,0.895725703,0.881928125,0.933515823,0.853169834,0.919739567,0.944346758,0.898944996,0.903352359,0.905375795,0.939989344,0.928236764,0.893649562,0.887526008,0.906838618,0.932591366,0.863284949,0.910826532,0.859256404,0.872234568,0.903682686,0.906235914,0.929501975,0.940254405,0.934706186,0.911929079,0.861042379,0.928425277,0.886621226,0.909409218,0.884833526,0.881998279,0.898229541,0.918771314,0.874316487,0.917040842,0.892380222,0.894334717,0.955208895,0.919366889,0.941470965,0.917759982,0.881846071,0.86891521,0.887970944,0.887332592,0.928447625
AUCD,0.879899476,0.854233589,0.859807701,0.928215657,0.924838507,1,0.923847135,0.902854639,0.884969105,0.897733693,0.89131625,0.890796165,0.934016977,0.873941099,0.922325351,0.875495179,0.898940439,0.904624586,0.909857534,0.802508536,0.898965042,0.917795469,0.886391429,0.894862449,0.882006608,0.827727938,0.914472974,0.901049008,0.941003197,0.86846652,0.856389076,0.860904688,0.888839804,0.912488157,0.928773363,0.906664085,0.91107917,0.860225113,0.881617671,0.90101989,0.903837608,0.897468081,0.878236948,0.863023491,0.894970069,0.921765187,0.896894555,0.876667185,0.923033839,0.851372256,0.913640877,0.934519087,0.872069258,0.898802133,0.897871687,0.924870885,0.922770622,0.887587834,0.885560865,0.901432025,0.92409154,0.8577364,0.906138416,0.857727638,0.867652669,0.900985352,0.905074708,0.921913352,0.935703029,0.926192704,0.90134886,0.855739406,0.916510108,0.882952077,0.890632104,0.880017983,0.879125481,0.882020019,0.910616984,0.873896335,0.90833859,0.895129968,0.889216251,0.91664625,0.903131082,0.930353405,0.907552643,0.875853435,0.867805505,0.888705144,0.884849455,0.921652533
AUSS,0.881952428,0.856769438,0.861958234,0.928476548,0.928537927,0.923847135,1,0.904088132,0.888025965,0.900635267,0.89238673,0.895243692,0.9356723,0.875232811,0.928758248,0.876744372,0.901012515,0.905019603,0.914668679,0.801067522,0.90327412,0.921947103,0.889251777,0.899305871,0.882205837,0.829046482,0.921508088,0.902345796,0.943475877,0.87174446,0.859991475,0.863396488,0.892770134,0.913881889,0.931369227,0.908189379,0.911677698,0.860438232,0.881338423,0.901048432,0.907361856,0.893772927,0.8791971,0.866727962,0.896399918,0.926283909,0.898414488,0.882157742,0.925800571,0.850500353,0.915824902,0.935454648,0.87682791,0.90035102,0.900746853,0.926827148,0.926502785,0.888382877,0.887289749,0.902826206,0.925920902,0.858962409,0.906997782,0.858288191,0.871321104,0.903100327,0.908702001,0.924308335,0.938018057,0.927997923,0.904980092,0.856363452,0.919434176,0.883594447,0.894040144,0.882032785,0.880216408,0.884091933,0.913003419,0.887008653,0.910445182,0.894084848,0.891882796,0.919530839,0.90376221,0.931764575,0.910704445,0.878784292,0.870183702,0.889559318,0.886607014,0.923735831
AUST,0.866468035,0.845270799,0.847284725,0.910377399,0.909111085,0.902854639,0.904088132,1,0.873446959,0.887158323,0.876362479,0.875051904,0.915626565,0.859765658,0.899819871,0.86800366,0.883241382,0.888933173,0.893547221,0.790222773,0.884470896,0.904906222,0.873856167,0.885488557,0.866214107,0.819010448,0.897731667,0.886661551,0.92732164,0.857966011,0.842823984,0.852824325,0.87809535,0.899320272,0.915303039,0.893421788,0.895254021,0.84519476,0.866760924,0.887711855,0.889287677,0.880108039,0.864243773,0.853269082,0.879143463,0.910417529,0.879941746,0.861377552,0.909592238,0.838641061,0.899890732,0.920992064,0.858369197,0.882150607,0.885977439,0.909169389,0.906657638,0.873514266,0.873759202,0.88881393,0.909934958,0.84614085,0.892242842,0.849800471,0.861928753,0.884211315,0.889457156,0.907566673,0.924844428,0.911443767,0.889394714,0.844528439,0.90304685,0.867731452,0.875711724,0.869573497,0.867466148,0.869465882,0.897182324,0.856631797,0.896223575,0.880469948,0.872559887,0.900595368,0.890163009,0.917131175,0.895667999,0.862087413,0.859905324,0.875725713,0.873246174,0.920791238
BASS,0.852595362,0.827124566,0.828921641,0.886270783,0.89138673,0.884969105,0.888025965,0.873446959,1,0.883243379,0.860864785,0.85706394,0.896033881,0.846524876,0.883505321,0.848133341,0.866609041,0.867449748,0.87807306,0.772312112,0.869799372,0.891174657,0.854623083,0.866815067,0.846962552,0.797500225,0.880600277,0.870543185,0.907729547,0.840238394,0.826254345,0.841688604,0.857856808,0.883330983,0.901883512,0.876795481,0.879345054,0.832266097,0.854962603,0.874068154,0.876365723,0.860517873,0.849159764,0.841484473,0.862781579,0.894722168,0.86253599,0.847012599,0.894697096,0.822698803,0.882164716,0.906115485,0.842454558,0.866348443,0.865406743,0.891284447,0.892239811,0.85696602,0.854549906,0.870353653,0.895184559,0.831225367,0.87563132,0.830883831,0.838889075,0.867662607,0.871096203,0.888696435,0.899624496,0.891768029,0.873736304,0.829330888,0.882345776,0.854447193,0.85954408,0.849693594,0.850124868,0.855582569,0.877888704,0.842121417,0.87603385,0.85663138,0.86224109,0.880873382,0.870619508,0.89832186,0.88000723,0.852950296,0.841686058,0.857576818,0.854261273,0.891075575
BEAG,0.863141772,0.841092743,0.84166114,0.901829337,0.904529128,0.897733693,0.900635267,0.887158323,0.883243379,1,0.873129906,0.869410734,0.910008819,0.857385798,0.899282521,0.85972816,0.880274911,0.87994216,0.890420223,0.780182222,0.880740755,0.903876423,0.867798445,0.877984874,0.858447104,0.808319453,0.893701407,0.883499127,0.922595658,0.854600693,0.839295557,0.8530713,0.873157793,0.89637249,0.915690951,0.888119271,0.891444384,0.841270116,0.864562227,0.888461736,0.889337623,0.872245346,0.861301699,0.854489274,0.876209184,0.907583655,0.87282883,0.858124872,0.909215893,0.833431132,0.894899709,0.918765951,0.853960811,0.878681623,0.87793849,0.904252064,0.904729772,0.870196893,0.866913377,0.884309943,0.906994258,0.842296124,0.888550797,0.843854468,0.852188885,0.882199208,0.8824996,0.903243702,0.914690981,0.905031045,0.887343322,0.840632398,0.896956144,0.8638738,0.870434043,0.864886964,0.860622958,0.865912825,0.890899059,0.852131581,0.889948995,0.869012018,0.871270091,0.894155709,0.886562074,0.914414524,0.894777542,0.861448141,0.852681492,0.86761746,0.867547732,0.904048732
