,ACKR,AFGH,AIRT,AKIT,AMAL,AMST,ANAT,AUCD,AUSS,AUST,BASS,BEAG,BEDT,BELS,BERD,BICH,BMAL,BMD,BORD,BORT,BORZ,BOST,BOUV,BOX,BPIC,BRIA,BRIT,BRTR,BRUS,BSJI,BULD,BULM,BULT,CAIR,CANE,CARD,CCRT,CHIH,CHIN,CHOW,CKCS,COTO,CRES,DACH,DALM,DANE,DDBX,DEER,DOBP,ECKR,ESET,ESSP,EURA,FBUL,FCR,FIEL,FINS,GLEN,GOLD,GORD,GPYR,GREE,GREY,GSD,GSHP,GSMD,GSNZ,GWHP,HUSK,ICES,IRIT,ISET,ITGY,IWOF,IWSP,JACK,KEES,KELP,KOMO,KUVZ,LAB,LEON,LHSA,LMUN,MAST,MBLT,MPIN,MPOO,MSNZ,NELK,NEWF,NORF,NOWT,NSDT,OES,OTTR,PAPI,PARS,PBGV,PEMB,PHAR,POM,PTWD,PUG,PULI,PUMI,RHOD,ROTT,SALU,SAMO,SCOT,SCWT,SHAR,SHIB,SHIH,SILK,SKIP,SLOU,SPIN,SPOO,SSHP,SSNZ,STAF,STBD,SVAL,TIBM,TIBS,TIBT,TPOO,TURV,VIZS,VPIN,WEIM,WFOX,WHIP,WHWT,YORK
ACKR,1.000000000000,0.846050952650,0.825897602837,0.827236536231,0.843161431794,0.885120263084,0.885680730153,0.880888000138,0.885836451371,0.869350325899,0.856119854778,0.869159668744,0.832256030560,0.856251664719,0.852919992311,0.889756332919,0.893558547591,0.843039918022,0.880007987006,0.847270365297,0.862408066339,0.865211747268,0.875660350257,0.768129050958,0.815564669703,0.865668473191,0.890802299522,0.852223721484,0.869060211362,0.789503591496,0.828247516786,0.845190008139,0.797082402339,0.880201385629,0.895417113885,0.877306695329,0.870242252711,0.903360440180,0.842486538796,0.822254729085,0.847780466437,0.857614947628,0.878612062432,0.898703954359,0.875741687224,0.875512000379,0.836009690161,0.824267121905,0.849152906230,0.900130915125,0.878129763991,0.871500413712,0.855444548882,0.857173910977,0.850025965765,0.858736894160,0.849829001261,0.850974989828,0.863689839471,0.896113068290,0.863485063723,0.811997140379,0.855246173705,0.844933920157,0.893585073369,0.821750686641,0.880756854939,0.901310588319,0.836716243364,0.862555870318,0.825228395164,0.862539133621,0.864066258767,0.830477597212,0.871393827231,0.902057461840,0.865040727113,0.859326080528,0.877978229526,0.886446950097,0.888680123632,0.853016191055,0.884111140284,0.883919580696,0.850553864621,0.810633327134,0.872118960051,0.892664971101,0.828437216888,0.883372943486,0.869986521322,0.829707611379,0.837060357198,0.871211495920,0.869109894592,0.841839835461,0.887826184559,0.899658755217,0.875781645784,0.862547865600,0.853085868317,0.887843101398,0.873251383350,0.825909519483,0.887980532009,0.881196307154,0.870512528815,0.850699296989,0.890238964730,0.854558056696,0.849272148548,0.847034929709,0.848805982693,0.838767229395,0.853072524782,0.898236969463,0.875797127892,0.901083772001,0.879882528316,0.870853568407,0.839336449002,0.873672699186,0.855387229312,0.853966044931,0.845056532807,0.876123842424,0.861673369398,0.870467891815,0.898374228658,0.868810067910,0.879784342274,0.901813245532,0.849123384590,0.838874631408,0.851085061271,0.852434348848,0.888474049478
AFGH,0.846050952650,1.000000000000,0.822548469027,0.851054302720,0.863002319105,0.881028399914,0.917512743106,0.879899476099,0.881952427671,0.866468035197,0.852595362488,0.863141772395,0.827355239077,0.854817415517,0.848772889775,0.887637084542,0.890975340165,0.841183388314,0.878783571997,0.837951051293,0.872818370808,0.858812959998,0.870837008139,0.765269418853,0.813432445484,0.864780438695,0.880069635689,0.853751531019,0.862975771515,0.831171186082,0.821628559485,0.840092936791,0.792287728807,0.876273772740,0.894651540780,0.873578021862,0.861892311681,0.904165721332,0.844782000071,0.854737350395,0.829525431185,0.857092559120,0.875884563211,0.893338688393,0.868458080456,0.873777096961,0.835594757202,0.823330207067,0.848033358777,0.862515800558,0.866580628871,0.851808403073,0.872506639516,0.852657381345,0.841610397904,0.830780688615,0.863963496863,0.848580912811,0.856948399669,0.885694647005,0.865564997763,0.835627291302,0.854972684113,0.842987892783,0.886229685029,0.817408865024,0.875976004478,0.897598142018,0.864485966533,0.866988000124,0.821370637705,0.850782789160,0.863647411694,0.830909561504,0.860849904188,0.896514567234,0.862736110134,0.858555645074,0.884788621506,0.892325270413,0.882583376621,0.853319088840,0.893639493699,0.878230064844,0.846776535984,0.806132016827,0.864382507205,0.888887292326,0.825560794100,0.889771799289,0.867711736900,0.823853686248,0.834044093731,0.861502505446,0.865379201334,0.840061280273,0.883688810895,0.893485423662,0.869668968577,0.855886589053,0.852366780312,0.889272257984,0.866755900668,0.825049953815,0.889661703675,0.883546019879,0.871323793958,0.846399780566,0.934260438992,0.870140958067,0.844605526094,0.843107253394,0.875606589320,0.862763113404,0.859132597485,0.894787784041,0.873303666183,0.920246887609,0.876347847744,0.867523060933,0.837797714414,0.872269922491,0.848577165894,0.853805079326,0.845701748687,0.916324592454,0.877968728836,0.875178243585,0.891491749227,0.866342387823,0.873681461606,0.901966243758,0.845959289259,0.832413395292,0.851094889590,0.845989190346,0.881291486966
AIRT,0.825897602837,0.822548469027,1.000000000000,0.802552708615,0.818586492751,0.869653299810,0.857800797246,0.854233588886,0.856769437717,0.845270798979,0.827124565950,0.841092743475,0.811188152300,0.830091811810,0.829945347417,0.857763677721,0.863740179409,0.816966593155,0.853157929692,0.824710311625,0.840261890240,0.846483972882,0.849141330234,0.758528690426,0.794203531500,0.838535480674,0.856564275261,0.839017848222,0.837573872396,0.769648249917,0.819232512926,0.826313471541,0.792205440810,0.853353841207,0.871269733317,0.851614284802,0.839952457017,0.872625283352,0.812872598000,0.798827988873,0.808503138409,0.830329877416,0.852496383668,0.865574201463,0.846539916928,0.849472979587,0.823214908562,0.809373229619,0.826420083322,0.842285843164,0.845335162657,0.830580180619,0.826212058408,0.839505519577,0.821162438655,0.814030859366,0.829046754462,0.837057553513,0.837074619829,0.862097306483,0.838045484394,0.788844515699,0.838966939057,0.819460086394,0.860324410100,0.800286581174,0.858697566523,0.868401565708,0.812335964476,0.835143923689,0.807513593911,0.827388229444,0.838766625266,0.816378635166,0.838273651615,0.875892261391,0.835977848606,0.832462350351,0.851690606570,0.857599248683,0.861567265195,0.830195468481,0.852145897327,0.847688702158,0.831496302912,0.803837518714,0.844016847755,0.861733526196,0.805444207218,0.857908937030,0.845980221743,0.813157266495,0.816183837428,0.839780763243,0.843079692834,0.817211696664,0.856688080635,0.873574397673,0.843925180807,0.837124663280,0.827964044916,0.862175152121,0.842446691435,0.801798400515,0.860707875254,0.852111883987,0.847785739369,0.825007957306,0.860767820278,0.828402484177,0.828207491624,0.827074289051,0.824392858126,0.813453336024,0.825729360263,0.871425825563,0.847777557839,0.870483394636,0.848672421913,0.837396033371,0.817017930663,0.846769902919,0.838952337993,0.831223205849,0.819147400472,0.847741605905,0.832916921671,0.840958840922,0.863735279506,0.841600103668,0.847046628634,0.870189591756,0.825455197995,0.820681896840,0.832185004582,0.828557225533,0.864429507300
AKIT,0.827236536231,0.851054302720,0.802552708615,1.000000000000,0.882247853088,0.861522589067,0.883251822353,0.859807700772,0.861958233530,0.847284725439,0.828921641086,0.841661139686,0.807379736828,0.834711534075,0.829529681678,0.866416296656,0.871431283440,0.822222386587,0.857887330753,0.820750814352,0.847272118428,0.839424647874,0.849056118390,0.750405849718,0.792358217006,0.841388597840,0.856672855209,0.831977648780,0.842839579002,0.801074190578,0.806133636278,0.823138030540,0.774793110318,0.856148258113,0.874434633344,0.851877045449,0.843828533237,0.883585564610,0.845939084096,0.900180565897,0.808047328451,0.837444150167,0.857896485597,0.868573458942,0.848008701335,0.851729085274,0.815609093867,0.803160133958,0.827224242046,0.844244698965,0.844396727913,0.829444721294,0.885944368084,0.832609397702,0.821895888442,0.811489884795,0.848009495857,0.829649040418,0.836090351782,0.862414086645,0.842249230144,0.863191731502,0.834054138526,0.824499177312,0.863242679673,0.799011968035,0.854038322261,0.873680774037,0.881288509377,0.851485136084,0.802276646782,0.829109583401,0.840131534636,0.807348337368,0.837975575697,0.875137665555,0.844943259226,0.840558070346,0.862452249880,0.867888602383,0.861145359247,0.832131400518,0.887568692761,0.853583807755,0.827438321189,0.789942004810,0.844135498931,0.865403746127,0.806659431205,0.871218147882,0.848456019873,0.803569921099,0.816739516068,0.841416727666,0.843817377806,0.818100075724,0.863319397036,0.871390142519,0.847483218619,0.839175059796,0.827710906996,0.869685203937,0.846954191403,0.808962439387,0.867864840246,0.858875914946,0.849704572219,0.825607661745,0.890394545774,0.861295491967,0.825322332572,0.820988239713,0.911059868629,0.905243361460,0.851954849500,0.873124198656,0.854136118153,0.888691576504,0.852915123387,0.845849195411,0.817461402251,0.852708473672,0.832181213401,0.831797892130,0.827774614908,0.918877309102,0.872022137203,0.862633717161,0.872012987139,0.846173258506,0.849935510260,0.881461890188,0.822037746321,0.815412086070,0.827481412297,0.827367352278,0.861089312149
AMAL,0.843161431794,0.863002319105,0.818586492751,0.882247853088,1.000000000000,0.882457602128,0.901837263840,0.878157563332,0.883414577681,0.864342675453,0.847432872640,0.860085487924,0.824406997894,0.854069712163,0.849056091644,0.885529628714,0.890574560217,0.839941850218,0.876415965554,0.838864791441,0.865010988081,0.859036446294,0.869295173303,0.764649804059,0.810020869183,0.860326192517,0.878329904538,0.849391114089,0.858259523112,0.810172709568,0.823187208254,0.841495205200,0.790727894539,0.875534762039,0.893384303147,0.871673628483,0.861576469658,0.905137713857,0.850023368077,0.884566859867,0.824942069720,0.855495351845,0.875148644889,0.888344432565,0.867141477516,0.870204381066,0.832103796002,0.821227166566,0.843215983066,0.861652280976,0.863009754397,0.847105608386,0.888567717268,0.851716754705,0.840053598789,0.828893682244,0.865865390701,0.848621310046,0.856391210545,0.880073289992,0.861242435128,0.933576698093,0.853252864183,0.843842806954,0.882013240455,0.816606441467,0.872801808509,0.891518338373,0.923786843022,0.869826139833,0.818587589335,0.847737650033,0.859141836310,0.826556731724,0.858613628486,0.895228942021,0.862079122571,0.857976188228,0.878712331973,0.887616833840,0.882327195382,0.851524812654,0.898053994220,0.873301437504,0.847454602835,0.805893981095,0.861640061947,0.885786966727,0.823092186404,0.887575664401,0.871051342221,0.822473455804,0.833368762489,0.860173520475,0.864236758169,0.836067703101,0.882923679873,0.892246704230,0.867676091749,0.855714250258,0.843537132100,0.886515988738,0.863973365181,0.821943055712,0.884916751968,0.878821869094,0.867271665255,0.843993904518,0.905379481883,0.880941156658,0.844839283746,0.839495521948,0.902747444900,0.890181619017,0.862234582790,0.892593669918,0.872073805503,0.905991837750,0.870724461427,0.863731777817,0.834730004339,0.871079831638,0.850441143587,0.850772878129,0.848037329047,0.922823254501,0.880640880152,0.876725326038,0.890484992691,0.866326889370,0.867840823987,0.901978609854,0.841826119731,0.831505950532,0.845405352049,0.847101379237,0.881273152217
AMST,0.885120263084,0.881028399914,0.869653299810,0.861522589067,0.882457602128,1.000000000000,0.926420987557,0.928215656843,0.928476547709,0.910377399126,0.886270783103,0.901829336676,0.870496552025,0.896409859377,0.894691806508,0.927800705647,0.939888513985,0.883826904269,0.922060001068,0.888711062787,0.903711128749,0.942790249058,0.921077588633,0.842650869806,0.848760500775,0.903679597741,0.919932622425,0.895220340198,0.900713834587,0.819443648088,0.912977524732,0.907135202049,0.874901374593,0.924396264533,0.957713370851,0.920865117892,0.909737569744,0.945615132563,0.869263459946,0.857563272131,0.865221078910,0.893128330712,0.917766602061,0.930346490792,0.912400248610,0.926797164854,0.900919647682,0.867525571674,0.884704918923,0.903296305336,0.906300017725,0.887959279310,0.894567495849,0.934887962152,0.884500417287,0.866432555575,0.887009592174,0.914827862752,0.902212984039,0.924761006501,0.896270564453,0.845972697690,0.905200742352,0.878788075679,0.925712461781,0.858282189930,0.920877081309,0.938635641855,0.874593111552,0.901973816691,0.863137964981,0.885866148334,0.905289159226,0.874464034923,0.902059442321,0.955063416837,0.900910881663,0.901440057657,0.919949564843,0.929870686114,0.934738759753,0.898037128349,0.918584594155,0.914269716099,0.907666634731,0.889663475567,0.905231044717,0.926625113241,0.859852154615,0.924803270835,0.917242519359,0.866036672452,0.878632754607,0.906555721758,0.912471905797,0.873157482805,0.927261026735,0.951760921522,0.907078566313,0.901859330194,0.884340679190,0.928826080775,0.905680204864,0.856706543538,0.928232150533,0.921168225107,0.919544421017,0.890441774507,0.930115306291,0.893797776990,0.888648516372,0.898834506429,0.891150238587,0.876318763326,0.883051727461,0.944645200212,0.911741690131,0.941340404278,0.912566308029,0.899690572404,0.875744746154,0.915924348911,0.937899888333,0.898385178142,0.879986791030,0.917107449634,0.894076056015,0.907129997667,0.933482700186,0.909078247213,0.912433424502,0.944302262497,0.881879636257,0.879155407690,0.898626529357,0.889609126559,0.931740363839
ANAT,0.885680730153,0.917512743106,0.857800797246,0.883251822353,0.901837263840,0.926420987557,1.000000000000,0.924838506673,0.928537926691,0.909111085215,0.891386730455,0.904529127552,0.864212846248,0.896729591335,0.891153560365,0.935506907630,0.939168314074,0.879817212588,0.923300939515,0.877498517509,0.912391144274,0.902279425363,0.915804302765,0.799744447935,0.846051555210,0.905740567739,0.926392405946,0.891087029895,0.904073168415,0.859705463940,0.859455316166,0.880827869949,0.823650068847,0.920665653855,0.943419130395,0.917379564837,0.905471794444,0.955840844942,0.882365824279,0.886124128362,0.866682187767,0.901479967083,0.921200321453,0.939362174362,0.913391524996,0.918343487492,0.873216282653,0.858607306498,0.885983054024,0.905686822746,0.911075201437,0.891260433000,0.913018456859,0.893575301587,0.879755022205,0.869418026450,0.902073567443,0.889924099225,0.898912534397,0.931656828162,0.907067096446,0.866775136734,0.895725703499,0.881928125474,0.933515823039,0.853169833797,0.919739567097,0.944346758475,0.898944996362,0.909189324147,0.852920062898,0.890945083413,0.903352358896,0.866794837977,0.904845305959,0.946815020713,0.905375795053,0.902750246178,0.929443316970,0.939989343678,0.928236764017,0.893649562402,0.937873334125,0.922376627251,0.887526007880,0.840439479411,0.906838618203,0.932591365753,0.863284948531,0.933464486751,0.910826532373,0.859256403780,0.872234567633,0.903682686363,0.906235913634,0.878188480094,0.929501974629,0.940254405174,0.914581035807,0.898784099128,0.891577424023,0.934706186157,0.911929079232,0.861042379059,0.933589244515,0.928425277225,0.914008913614,0.886621226046,0.970217823654,0.909409218025,0.884833525519,0.881998279011,0.913539673341,0.896957975582,0.898229541072,0.940642324732,0.918771313573,0.963251748335,0.920116268206,0.912181980446,0.874316487211,0.917040841523,0.892380221667,0.894334716581,0.886701893495,0.955208895041,0.916594640748,0.919366889320,0.941470964873,0.911183318197,0.917759981527,0.954649504031,0.881846071369,0.868915209525,0.887970943897,0.887332591625,0.928447624520
AUCD,0.880888000138,0.879899476099,0.854233588886,0.859807700772,0.878157563332,0.928215656843,0.924838506673,1.000000000000,0.923847135001,0.902854639455,0.884969104849,0.897733692533,0.861664184110,0.891316250125,0.890796164914,0.923178651009,0.934016976557,0.873941099407,0.922325350980,0.875495179500,0.898940439096,0.904624586067,0.909857534295,0.802508535669,0.842932471319,0.898965042310,0.917795469222,0.886391428703,0.894862448623,0.815789148100,0.865222909473,0.882006607897,0.827727937933,0.916175894624,0.935947612053,0.914472974307,0.901049008020,0.941003196706,0.868466519519,0.856389075821,0.860904688427,0.888839804400,0.912488157318,0.928773363277,0.906664084850,0.911079170355,0.872517263700,0.860225113068,0.881617670652,0.901019889703,0.903837607686,0.886450029241,0.891498625634,0.897468081262,0.878236947932,0.863023491464,0.885723947031,0.889044628227,0.894970069291,0.921765186562,0.894776379598,0.844036806966,0.896894555048,0.876667185205,0.923033838543,0.851372256063,0.913640876569,0.934519087043,0.872069257675,0.899302984507,0.852146711661,0.882885559456,0.898802133166,0.864855334379,0.897407971557,0.939833741301,0.897871687190,0.906489499671,0.916712397744,0.924870885454,0.922770621511,0.887587834019,0.917693465600,0.912437099939,0.885560865258,0.843421194378,0.901432024688,0.924091540368,0.857736399743,0.921781121126,0.906138416059,0.857727637603,0.867652669216,0.900985352175,0.905074707526,0.871284134158,0.921913351557,0.935703029288,0.905123854151,0.897565551891,0.879424819737,0.926192703708,0.901348860181,0.855739405707,0.924280129863,0.916510107756,0.904659792520,0.882952077315,0.927918193061,0.890632104473,0.880017982775,0.879125480718,0.886600483151,0.872880165838,0.882020018561,0.935728704401,0.910616984149,0.939518905189,0.910111603614,0.901549090909,0.873896335070,0.908338590373,0.895129967715,0.889216251140,0.878038102887,0.916646249554,0.894920064905,0.903131082295,0.930353405474,0.904193116513,0.907552643028,0.941338841067,0.875853435200,0.867805505265,0.888705143683,0.884849455170,0.921652532637
AUSS,0.885836451371,0.881952427671,0.856769437717,0.861958233530,0.883414577681,0.928476547709,0.928537926691,0.923847135001,1.000000000000,0.904088132476,0.888025964620,0.900635266836,0.864416368452,0.892386729500,0.895243692367,0.925762011081,0.935672299804,0.875232811420,0.928758247735,0.876744371988,0.901012515224,0.905019602609,0.914668679455,0.801067521989,0.846426361732,0.903274119583,0.921947102939,0.889251777275,0.899305871141,0.817130075611,0.864539997861,0.882205837106,0.829046482173,0.918701282776,0.939027618041,0.921508087820,0.902345795643,0.943475876640,0.871744460127,0.859991475479,0.863396487968,0.892770133744,0.913881888757,0.931369227301,0.908189378979,0.911677697735,0.871948201861,0.860438231927,0.881338423245,0.901048432385,0.907361856401,0.886990145377,0.893398328636,0.893772927270,0.879197100142,0.866727961816,0.887982369947,0.891064306071,0.896399918192,0.926283908891,0.897147912756,0.847681934922,0.898414487517,0.882157742271,0.925800570699,0.850500352775,0.915824902485,0.935454647791,0.876827909965,0.900986881156,0.854217591943,0.886802730959,0.900351019622,0.865921448393,0.900359223755,0.943082064682,0.900746853435,0.905910865017,0.918787568911,0.926827147885,0.926502784636,0.888382877129,0.919327927875,0.915442425230,0.887289749009,0.844647481195,0.902826206044,0.925920902384,0.858962408534,0.923276116212,0.906997782111,0.858288190819,0.871321104095,0.903100327239,0.908702000683,0.875223516984,0.924308334898,0.938018057479,0.907411439098,0.904109198253,0.881412601235,0.927997923011,0.904980091795,0.856363452327,0.925494715184,0.919434176193,0.908447354486,0.883594447288,0.930069157411,0.894040144000,0.882032785497,0.880216408378,0.889527836098,0.876193318195,0.884091932837,0.937167319895,0.913003419366,0.940140898529,0.913991587482,0.903520953628,0.887008652760,0.910445182419,0.894084847727,0.891882796201,0.882366723828,0.919530839118,0.897499768086,0.903762209692,0.931764575390,0.907970707522,0.910704445111,0.943038810475,0.878784291846,0.870183702428,0.889559317577,0.886607013581,0.923735831479
AUST,0.869350325899,0.866468035197,0.845270798979,0.847284725439,0.864342675453,0.910377399126,0.909111085215,0.902854639455,0.904088132476,1.000000000000,0.873446959350,0.887158323349,0.852043156498,0.876362478913,0.875051904014,0.912229265561,0.915626565088,0.859765657854,0.899819870740,0.868003660451,0.883241382462,0.888933173393,0.893547221110,0.790222772670,0.830055759804,0.884470895605,0.904906221969,0.873856166909,0.885488557239,0.805280064736,0.849912184475,0.866214106522,0.819010448379,0.904303505976,0.919188833929,0.897731667078,0.886661551291,0.927321640358,0.857966010931,0.842823983817,0.852824325216,0.878095350129,0.899320271631,0.915303038867,0.893421788485,0.895254021268,0.857247775487,0.845194760010,0.866760924404,0.887711854850,0.889287676603,0.874466863257,0.876905493919,0.880108039198,0.864243773213,0.853269082318,0.873285659802,0.875892534252,0.879143463103,0.910417529446,0.880483304489,0.830812580336,0.879941745611,0.861377552245,0.909592238028,0.838641060711,0.899890732147,0.920992064016,0.858369197179,0.884695296837,0.845574412581,0.871735534156,0.882150607138,0.849228027837,0.885184891307,0.928269897313,0.885977438925,0.882428185721,0.899757325529,0.909169388936,0.906657637937,0.873514266344,0.903166022457,0.899609599362,0.873759201757,0.834327095555,0.888813930202,0.909934958183,0.846140850179,0.905013322096,0.892242841788,0.849800470997,0.861928752976,0.884211314591,0.889457155560,0.859389609021,0.907566672750,0.924844427893,0.891930113586,0.880072683997,0.867427578597,0.911443767267,0.889394713825,0.844528438997,0.909811568470,0.903046849701,0.889569241170,0.867731452365,0.912659549541,0.875711723879,0.869573496895,0.867466148077,0.872558944666,0.860139726265,0.869465881818,0.947882609115,0.897182323511,0.923394853279,0.894933283991,0.888697107521,0.856631797392,0.896223574638,0.880469948090,0.872559887319,0.864351425769,0.900595367605,0.881917640619,0.890163009372,0.917131175065,0.889853520357,0.895667998591,0.926907719427,0.862087412940,0.859905324169,0.875725713385,0.873246174177,0.920791237535
